slug,ats,career_url,hq_country
mainvest,unknown,,US
make-school,smartrecruiters,https://careers.smartrecruiters.com/makeschool,US
makemytrip,unknown,https://www.makemytrip.global/,
makerbot,unknown,,US
malwarebytes,smartrecruiters,https://careers.smartrecruiters.com/malwarebytes,US
mamaearth,other,https://www.trivago.deals/,
manhattan-associates,smartrecruiters,https://careers.smartrecruiters.com/manhattanassociates,US
manomano,other,https://careers.microsoft.com/v2/global/en/home.html,France
mapbox,ashby,https://jobs.ashbyhq.com/mapbox,US
mapify,other,https://www.weatherbug.com/,Germany
mara,unknown,,Canada
mariadb,unknown,,US
marin-software,smartrecruiters,https://careers.smartrecruiters.com/marinsoftware,US
mark43,greenhouse,https://boards.greenhouse.io/mark43,US
marketsource,smartrecruiters,https://careers.smartrecruiters.com/marketsource,US
markforged,greenhouse,https://boards.greenhouse.io/markforged,US
marqeta,greenhouse,https://boards.greenhouse.io/marqeta,US
marvell,unknown,,US
masse,other,https://www.wish.com/careers,
masterclass,greenhouse,https://boards.greenhouse.io/masterclass,US
match-group,lever,https://jobs.lever.co/matchgroup,US
matrixport,other,https://careers.microsoft.com/v2/global/en/home.html,
matter-labs,ashby,https://jobs.ashbyhq.com/matter-labs,Germany
matterport,other,https://my.matterport.com/careers,US
maven,ashby,https://jobs.ashbyhq.com/maven,US
maven-clinic,greenhouse,https://boards.greenhouse.io/mavenclinic,US
mavenir,unknown,https://thehighpointresidence.com/,US
maxmilhas,unknown,,
may-mobility,greenhouse,https://boards.greenhouse.io/maymobility,US
mcmakler,other,https://www.zhihu.com/about/careers,Germany
me-poupe,smartrecruiters,https://careers.smartrecruiters.com/me,
meati,unknown,https://maps.google.com.mx/robots.txt,US
