slug,ats,url,status,preview
"fubotv","greenhouse","https://boards-api.greenhouse.io/v1/boards/fubotv/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://careers.fubo.tv/fubotv-job-openings/?gh_jid=8081998"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_conse","200"
"fubotv","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fubotv/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fullstory","ashby","https://api.ashbyhq.com/posting-api/job-board/fullstory?includeCompensation=true","{""jobs"": [{""id"": ""b56f8b94-3771-4dc8-a36f-2da90b5885c7"", ""title"": ""RVP, Commercial, EMEA"", ""department"": ""Account Executives"", ""team"": ""Commercial"", ""employmentType"": ""FullTime"", ""","200"
"fullstory","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fullstory/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fundbox","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fundbox/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"funding-circle","smartrecruiters","https://api.smartrecruiters.com/v1/companies/funding-circle/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"funding-societies","smartrecruiters","https://api.smartrecruiters.com/v1/companies/funding-societies/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fungible","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fungible/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"furlenco","smartrecruiters","https://api.smartrecruiters.com/v1/companies/furlenco/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"futurelearn","smartrecruiters","https://api.smartrecruiters.com/v1/companies/futurelearn/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fuzzy","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fuzzy/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"g-o-media-group","smartrecruiters","https://api.smartrecruiters.com/v1/companies/g-o-media-group/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"g2","ashby","https://api.ashbyhq.com/posting-api/job-board/g2?includeCompensation=true","{""jobs"": [{""id"": ""fba3655e-02ba-42d1-8cc0-f96368b618d3"", ""title"": ""Account Manager (Future Opportunities) "", ""department"": ""Talent Pool - Future Opportunities"", ""team"": ""Revenue"", ","200"
"g2","smartrecruiters","https://api.smartrecruiters.com/v1/companies/g2/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gambling-com-group","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gambling-com-group/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"games-24x7","smartrecruiters","https://api.smartrecruiters.com/v1/companies/games-24x7/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gameskraft","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gameskraft/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gamurs-group","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gamurs-group/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gated","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gated/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gatherly","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gatherly/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gavelytics","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gavelytics/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"geekwire","smartrecruiters","https://api.smartrecruiters.com/v1/companies/geekwire/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gemini","greenhouse","https://boards-api.greenhouse.io/v1/boards/gemini/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://boards.greenhouse.io/embed/job_app?for=gemini&token=7976989&gh_jid=7976989"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""re","200"
"gemini","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gemini/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"general-fusion","smartrecruiters","https://api.smartrecruiters.com/v1/companies/general-fusion/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"genesis","ashby","https://api.ashbyhq.com/posting-api/job-board/genesis?includeCompensation=true","{""jobs"": [{""id"": ""e9641fe8-5575-424d-9c35-84ce0ada0060"", ""title"": ""Foundation Models"", ""department"": ""Engineering & Research"", ""team"": ""Foundations"", ""employmentType"": ""FullTime"", ","200"
"genesis","greenhouse","https://boards-api.greenhouse.io/v1/boards/genesis/jobs?content=true","{""jobs"": [], ""meta"": {""total"": 0}}","200"
"genesis","lever","https://api.lever.co/v0/postings/genesis?mode=json","[{""additional"": """", ""additionalPlain"": """", ""categories"": {""commitment"": ""Full Time"", ""department"": ""Quality Engineering"", ""location"": ""Bengaluru, IN"", ""team"": ""11250 - QA"", ""allLoc","200"
"genesis","smartrecruiters","https://api.smartrecruiters.com/v1/companies/genesis/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"genius","greenhouse","https://boards-api.greenhouse.io/v1/boards/genius/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://job-boards.greenhouse.io/genius/jobs/4324228009"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"":","200"
"genius","smartrecruiters","https://api.smartrecruiters.com/v1/companies/genius/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"genome-medical","lever","https://api.lever.co/v0/postings/genome-medical?mode=json","[]","200"
"genome-medical","smartrecruiters","https://api.smartrecruiters.com/v1/companies/genome-medical/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"genwise","smartrecruiters","https://api.smartrecruiters.com/v1/companies/genwise/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"geocomply","smartrecruiters","https://api.smartrecruiters.com/v1/companies/geocomply/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"getaround","smartrecruiters","https://api.smartrecruiters.com/v1/companies/getaround/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"getir","smartrecruiters","https://api.smartrecruiters.com/v1/companies/getir/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"getninjas","smartrecruiters","https://api.smartrecruiters.com/v1/companies/getninjas/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"getta","smartrecruiters","https://api.smartrecruiters.com/v1/companies/getta/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"getyourguide","ashby","https://api.ashbyhq.com/posting-api/job-board/getyourguide?includeCompensation=true","{""jobs"": [], ""apiVersion"": ""1""}","200"
"getyourguide","greenhouse","https://boards-api.greenhouse.io/v1/boards/getyourguide/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://job-boards.greenhouse.io/getyourguide/jobs/8066989"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": true, ""requires_processing_consent","200"
"getyourguide","smartrecruiters","https://api.smartrecruiters.com/v1/companies/getyourguide/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"ghost-autonomy","smartrecruiters","https://api.smartrecruiters.com/v1/companies/ghost-autonomy/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gigamon","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gigamon/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gigbanc","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gigbanc/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"ginkgo-bioworks","smartrecruiters","https://api.smartrecruiters.com/v1/companies/ginkgo-bioworks/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"github","smartrecruiters","https://api.smartrecruiters.com/v1/companies/github/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"gitpod","smartrecruiters","https://api.smartrecruiters.com/v1/companies/gitpod/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"give-legacy","smartrecruiters","https://api.smartrecruiters.com/v1/companies/give-legacy/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glamyo-health","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glamyo-health/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glassbox","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glassbox/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glassdoor","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glassdoor/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glean-ai","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glean-ai/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glints","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glints/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glisser","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glisser/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"glitch","smartrecruiters","https://api.smartrecruiters.com/v1/companies/glitch/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
